Rxn name	Formula	Gene-reaction association	LB	UB	Objective
2AGPG120tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPG140tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPG141tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)[c] 	b2835	  0.00	1000.00	  0.00
2AGPG160tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPG161tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)[c] 	b2835	  0.00	1000.00	  0.00
2AGPG180tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)[c] 	b2835	  0.00	1000.00	  0.00
2AGPG181tipp	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)[p] => 2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)[c] 	b2835	  0.00	1000.00	  0.00
2AGPGAT120	2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)[c] + ATP C10H12N5O13P3[c] + Dodecanoate (n-C12:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (didodecanoyl, n-C12:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)[c] + ATP C10H12N5O13P3[c] + Tetradecanoate (n-C14:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (ditetradecanoyl, n-C14:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT141	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)[c] + ATP C10H12N5O13P3[c] + Tetradecenoate (n-C14:1)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT160	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)[c] + ATP C10H12N5O13P3[c] + Hexadecanoate (n-C16:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (dihexadecanoyl, n-C16:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT161	2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)[c] + ATP C10H12N5O13P3[c] + Hexadecenoate (n-C16:1)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT180	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)[c] + ATP C10H12N5O13P3[c] + Octadecanoate (n-C18:0)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (dioctadecanoyl, n-C18:0)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT181	2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)[c] + ATP C10H12N5O13P3[c] + Octadecenoate (n-C18:1)[c] => AMP C10H12N5O7P[c] + Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)[c] + Diphosphate[c] 	b2836	  0.00	1000.00	  0.00
2DDARAA	2-dehydro-3-deoxy-D-arabinonate[c] <=> Glycolaldehyde[c] + Pyruvate[c] 	b4298 or b0268	-1000.00	1000.00	  0.00
2DGLCptspp	2 Deoxy D glucose C6H12O5[p] + Phosphoenolpyruvate[c] => 2 Deoxy D glucose 6 phosphate C6H11O8P[c] + Pyruvate[c] 	b2415 and b1817 and b1819 and b2416 and b1818	  0.00	1000.00	  0.00
2DGLCtex	2 Deoxy D glucose C6H12O5[e] <=> 2 Deoxy D glucose C6H12O5[p] 	b1377 or b0241 or b2215 or b0929	-1000.00	1000.00	  0.00
2DGULRGx	2-Dehydro-L-gulonate[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] => D-Gluconate[c] + Nicotinamide adenine dinucleotide[c] 	b3553	  0.00	1000.00	  0.00
2DGULRGy	2-Dehydro-L-gulonate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => D-Gluconate[c] + Nicotinamide adenine dinucleotide phosphate[c] 	b3553	  0.00	1000.00	  0.00
2DGULRx	2-Dehydro-L-gulonate[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] => L-Idonate[c] + Nicotinamide adenine dinucleotide[c] 	b3553	  0.00	1000.00	  0.00
2DGULRy	2-Dehydro-L-gulonate[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => L-Idonate[c] + Nicotinamide adenine dinucleotide phosphate[c] 	b3553	  0.00	1000.00	  0.00
2DOXG6PP	2 Deoxy D glucose 6 phosphate C6H11O8P[c] + H2O H2O[c] => 2 Deoxy D glucose C6H12O5[c] + Phosphate[c] 	b3826 or b1727 or b2293 or b0446	  0.00	1000.00	  0.00
2HESR	2-hydroxyethyldisulfide[c] + 2 Reduced glutathione[c] => Oxidized glutathione[c] + 2 Mercaptoethanol[c] 	b2989 or b2302	  0.00	1000.00	  0.00
2HPTCOAT	2-hydroxycyclohepta-1,4,6-triene-1-carboxyl-CoA[c] + H2O H2O[c] => 2-hydroxycyclohepta-1,4,6-triene-1-carboxylate[c] + Coenzyme A[c] 	b1400	  0.00	1000.00	  0.00
2MAHMP	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate[c] + H2O H2O[c] => 4-Amino-2-methyl-5-phosphomethylpyrimidine[c] + H+[c] + Phosphate[c] 	b0446 or b1134	  0.00	1000.00	  0.00
34dhpactex	3,4-Dihydroxyphenylacetaldehyde[e] <=> 3,4-Dihydroxyphenylacetaldehyde[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
3AMACHYD	3-Aminoacrylate[c] + H2O H2O[c] + H+[c] => Malonate semialdehyde[c] + Ammonium[c] 	b1009	  0.00	1000.00	  0.00
3AMPtex	3  AMP C10H12N5O7P[e] <=> 3  AMP C10H12N5O7P[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
3CMPtex	3  CMP C9H12N3O8P[e] <=> 3  CMP C9H12N3O8P[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
3GMPtex	Guanosine 3  phosphate C10H12N5O8P[e] <=> Guanosine 3  phosphate C10H12N5O8P[p] 	b0241 or b0929 or b1377 or b2215	-1000.00	1000.00	  0.00
3HAD100	(R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-Dec-2-enoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD120	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-Dodec-2-enoyl-[acyl-carrier protein][c] 	b0180 or b0954	  0.00	1000.00	  0.00
3HAD121	(R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-3-cis-5-dodecenoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD140	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-Tetradec-2-enoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD141	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-3-cis-7-myristoleoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD160	R-3-hydroxypalmitoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-Hexadec-2-enoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD161	(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD180	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-octadec-2-enoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD181	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-3-cis-11-vacceoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD40	(3R)-3-Hydroxyacyl-[acyl-carrier protein][c] => But-2-enoyl-[acyl-carrier protein][c] + H2O H2O[c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD60	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-Hex-2-enoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HAD80	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein][c] => H2O H2O[c] + Trans-Oct-2-enoyl-[acyl-carrier protein][c] 	b0954 or b0180	  0.00	1000.00	  0.00
3HBZCT	3-hydroxybenzoyl-CoA[c] + H2O H2O[c] => 3-Hydroxybenzoate[c] + Coenzyme A[c] 	b0597	  0.00	1000.00	  0.00
3HCINNMH	3-hydroxycinnamic acid[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + O2 O2[c] => 2,3-dihydroxicinnamic acid[c] + H2O H2O[c] + Nicotinamide adenine dinucleotide[c] 	b0347	  0.00	1000.00	  0.00
3HPADHi	3-Hydroxypropanal[c] + H2O H2O[c] + Nicotinamide adenine dinucleotide[c] => 3-Hydroxypropanoate[c] + 2 H+[c] + Nicotinamide adenine dinucleotide - reduced[c] 	b1300	  0.00	1000.00	  0.00
3HPPPNH	3-(3-hydroxy-phenyl)propionate[c] + H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + O2 O2[c] => 3-(2,3-Dihydroxyphenyl)propanoate[c] + H2O H2O[c] + Nicotinamide adenine dinucleotide[c] 	b0347	  0.00	1000.00	  0.00
3HPPtex	3-Hydroxypropanoate[e] <=> 3-Hydroxypropanoate[p] 	b1377 or b0929 or b2215 or b0241	-1000.00	1000.00	  0.00
3HPPtpp	3-Hydroxypropanoate[c] + H+[c] => 3-Hydroxypropanoate[p] + H+[p] 		  0.00	1000.00	  0.00
3KGK	3-Dehydro-L-gulonate[c] + ATP C10H12N5O13P3[c] => 3-keto-L-gulonate-6-phosphate[c] + ADP C10H12N5O10P2[c] + H+[c] 	b3580	  0.00	1000.00	  0.00
3NTD2pp	3  UMP C9H11N2O9P[p] + H2O H2O[p] => Phosphate[p] + Uridine[p] 	b4213 or b0383	  0.00	1000.00	  0.00
3NTD4pp	3  CMP C9H12N3O8P[p] + H2O H2O[p] => Cytidine[p] + Phosphate[p] 	b4213 or b0383 or b0383	  0.00	1000.00	  0.00
3NTD7pp	3  AMP C10H12N5O7P[p] + H2O H2O[p] => Adenosine[p] + Phosphate[p] 	b4213 or b0383	  0.00	1000.00	  0.00
3NTD9pp	Guanosine 3  phosphate C10H12N5O8P[p] + H2O H2O[p] => Guanosine[p] + Phosphate[p] 	b4213 or b0383	  0.00	1000.00	  0.00
3OAR100	3-Oxodecanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (R)-3-Hydroxydecanoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR120	3-Oxododecanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (R)-3-Hydroxydodecanoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR121	3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => (R)-3-hydroxy-cis-dodec-5-enoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	  0.00	1000.00	  0.00
3OAR140	3-Oxotetradecanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (R)-3-Hydroxytetradecanoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR141	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => (R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	  0.00	1000.00	  0.00
3OAR160	3-Oxohexadecanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> R-3-hydroxypalmitoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR161	3-oxo-cis-palm-9-eoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => (R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	  0.00	1000.00	  0.00
3OAR180	3-Oxooctadecanoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> (R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	-1000.00	1000.00	  0.00
3OAR181	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein][c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => (R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein][c] + Nicotinamide adenine dinucleotide phosphate[c] 	b1093	  0.00	1000.00	  0.00
