Rxn name	Formula	Gene-reaction association	LB	UB	Objective
GLUN	L-Glutamine[c] + H2O H2O[c] => L-Glutamate[c] + Ammonium[c] 	b1812 or b0485 or b1524	  0.00	1000.00	  0.00
GLUSy	2-Oxoglutarate[c] + L-Glutamine[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => 2 L-Glutamate[c] + Nicotinamide adenine dinucleotide phosphate[c] 	b3212 and b3213	  0.00	1000.00	  0.00
GLUt2r	L-Glutamate[e] + H+[e] <=> L-Glutamate[c] + H+[c] 	b4077	-1000.00	1000.00	  0.00
GND	6-Phospho-D-gluconate[c] + Nicotinamide adenine dinucleotide phosphate[c] => CO2 CO2[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + D-Ribulose 5-phosphate[c] 	b2029	  0.00	1000.00	  0.00
H2Ot	H2O H2O[e] <=> H2O H2O[c] 	b0875 or s0001	-1000.00	1000.00	  0.00
ICDHyr	Isocitrate[c] + Nicotinamide adenine dinucleotide phosphate[c] <=> 2-Oxoglutarate[c] + CO2 CO2[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] 	b1136	-1000.00	1000.00	  0.00
ICL	Isocitrate[c] => Glyoxylate[c] + Succinate[c] 	b4015	  0.00	1000.00	  0.00
LDH_D	D-Lactate[c] + Nicotinamide adenine dinucleotide[c] <=> H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Pyruvate[c] 	b2133 or b1380	-1000.00	1000.00	  0.00
MALS	Acetyl-CoA[c] + Glyoxylate[c] + H2O H2O[c] => Coenzyme A[c] + H+[c] + L-Malate[c] 	b4014 or b2976	  0.00	1000.00	  0.00
MALt2_2	2 H+[e] + L-Malate[e] => 2 H+[c] + L-Malate[c] 	b3528	  0.00	1000.00	  0.00
MDH	L-Malate[c] + Nicotinamide adenine dinucleotide[c] <=> H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Oxaloacetate[c] 	b3236	-1000.00	1000.00	  0.00
ME1	L-Malate[c] + Nicotinamide adenine dinucleotide[c] => CO2 CO2[c] + Nicotinamide adenine dinucleotide - reduced[c] + Pyruvate[c] 	b1479	  0.00	1000.00	  0.00
ME2	L-Malate[c] + Nicotinamide adenine dinucleotide phosphate[c] => CO2 CO2[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + Pyruvate[c] 	b2463	  0.00	1000.00	  0.00
NADH16	4 H+[c] + Nicotinamide adenine dinucleotide - reduced[c] + Ubiquinone-8[c] => 3 H+[e] + Nicotinamide adenine dinucleotide[c] + Ubiquinol-8[c] 	b2276 and b2277 and b2278 and b2279 and b2280 and b2281 and b2282 and b2283 and b2284 and b2285 and b2286 and b2287 and b2288	  0.00	1000.00	  0.00
NADTRHD	Nicotinamide adenine dinucleotide[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] => Nicotinamide adenine dinucleotide - reduced[c] + Nicotinamide adenine dinucleotide phosphate[c] 	b3962 or (b1602 and b1603)	  0.00	1000.00	  0.00
NH4t	Ammonium[e] <=> Ammonium[c] 	s0001 or b0451	-1000.00	1000.00	  0.00
O2t	O2 O2[e] <=> O2 O2[c] 	s0001	-1000.00	1000.00	  0.00
PDH	Coenzyme A[c] + Nicotinamide adenine dinucleotide[c] + Pyruvate[c] => Acetyl-CoA[c] + CO2 CO2[c] + Nicotinamide adenine dinucleotide - reduced[c] 	b0114 and b0115 and b0116	  0.00	1000.00	  0.00
PFK	ATP C10H12N5O13P3[c] + D-Fructose 6-phosphate[c] => ADP C10H12N5O10P2[c] + D-Fructose 1,6-bisphosphate[c] + H+[c] 	b3916 or b1723	  0.00	1000.00	  0.00
PFL	Coenzyme A[c] + Pyruvate[c] => Acetyl-CoA[c] + Formate[c] 	((b0902 and b0903) and b2579) or (b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952)	  0.00	1000.00	  0.00
PGI	D-Glucose 6-phosphate[c] <=> D-Fructose 6-phosphate[c] 	b4025	-1000.00	1000.00	  0.00
